Category,Feature,Description,Why it matters (interview/engineering depth),Abroad-role relevance,Effort (S/M/L),Priority (P0/P1/P2),Status
Event-Driven Architecture,Consumer groups for horizontal scaling,"Multiple notification-worker instances share a Redis Streams consumer group so load scales horizontally","Directly demonstrates horizontal scalability thinking",High,M,P1,Not started
AI Features,Real-time multi-language translation,"Live captions/translation during lectures, or translated recordings/transcripts","Good differentiator, but scope small: start with post-recording transcript translation before live captioning",Medium,L,P2,Planned (yours, later)
AI Features,Auto-generated lecture summaries,"After a recording is ready, run it through an LLM/ASR pipeline for a summary + key points","Cheaper to build than live translation, same 'AI feature' resume value, reuses the recording-ready event",Medium,M,P2,Not started
AI Features,Semantic course/content search,"Embed course descriptions/lessons, vector search for 'find me a course about X'","Shows RAG/embeddings knowledge — very commonly asked about in 2026 interviews",High,M,P2,Not started
Testing & Quality,Unit tests for core business logic,"Lecture state machine, privilege scoping, payment idempotency — the places bugs already happened this session","You currently have ZERO tests; this is the single biggest credibility gap for any engineering role",High,M,P0,Not started
Testing & Quality,Integration tests against real Postgres/Redis,"testcontainers-go spinning up real deps, catching the exact class of SQL/schema bugs you hit live in this session",High,M,P0,Not started
Testing & Quality,Frontend component/e2e tests,"Vitest/RTL for components, Playwright for critical flows (login, create lecture, join room)","Shows full-stack test discipline, not just backend",Medium,M,P1,Not started
Testing & Quality,CI pipeline (GitHub Actions),"Lint + typecheck + test + build gate on every PR","'No CI' is an instant red flag in a code review — cheap to fix, high signal",High,S,P0,Not started
Observability,Structured logging,"Replace log.Printf with structured JSON logs (zerolog/zap), request-id correlation","Table stakes for any production system; easy to add, big credibility jump",High,S,P0,Not started
Observability,Metrics (Prometheus) + dashboard (Grafana),"Request latency/error rate, queue depth once streams land, DB pool saturation","This is exactly what 'abroad' SRE-adjacent interviews probe — shows you think about running the system, not just building it",High,M,P1,Not started
Observability,Distributed tracing (OpenTelemetry),"Trace a request across API → Postgres → Redis → LiveKit webhook","Becomes essential once you have an event bus; strong signal for platform/infra-leaning roles",Medium,M,P2,Not started
Security,Rate limiting (login, API),"Redis-backed rate limiter on auth endpoints and public API","You already do password hashing right — rate limiting is the next obvious gap for a security-conscious reviewer",High,S,P0,Not started
Security,MFA / TOTP for admin accounts,"Optional 2FA for admin/tutor logins","Enterprise buyers and EU-based reviewers expect this by default",Medium,M,P2,Not started
Security,Secrets management,"Move hardcoded LiveKit secret out of livekit.yml into a vault/.env-only flow, document rotation","You have a literal secret committed right now — fix before anyone reviews the repo",High,S,P0,Not started
Security,Private object storage + presigned URLs,"Split MinIO into public (thumbnails) vs private (recordings/drive) buckets with presigned GET","This was flagged as a real vulnerability earlier in your own plan — confirm it shipped",High,S,P0,Verify/Not started
Security,Audit log,"Append-only log of privilege-sensitive actions (who deleted what batch, who reset whose password)","Enterprise/compliance-minded interviewers ask for this by name",Medium,M,P1,Not started
Compliance,GDPR-style data export/delete,"'Export my data' and 'delete my account' flows per tenant/user","Directly relevant if you're targeting EU-based roles or companies; shows you think about user data rights",Medium,M,P2,Not started
Compliance,Tenant data isolation tests,"Automated test proving org A's JWT can never read org B's rows, even under scope-predicate bugs","Turns your multi-tenancy story from 'I wrote WHERE customer_id=' into 'I proved it's safe'",High,S,P1,Not started
Infra/DevOps,Infrastructure as Code (Terraform),"Provision Postgres/Redis/MinIO/LiveKit as code instead of docker-compose-only","Cloud-native/DevOps-adjacent roles specifically look for this",Medium,M,P2,Not started
Infra/DevOps,Kubernetes deployment (Helm chart),"Containerized deploy with health checks, readiness probes, HPA","Strong signal for platform-engineering-flavored abroad roles",Medium,L,P2,Not started
Infra/DevOps,Blue-green / canary deploys,"Zero-downtime deploy strategy documented and demoed","Nice-to-have story, not required for most SDE roles — lower priority than testing/observability",Low,M,P2,Not started
Scalability,Caching layer for hot reads,"Cache privilege lookups, batch/course listings in Redis with explicit invalidation on write","You already use Redis for OTP/sessions — extending it to caching is a natural, well-scoped addition",High,S,P1,Not started
Scalability,Read replicas / query offloading,"Route list/report queries to a Postgres read replica","Shows you understand read/write scaling, common system-design interview thread",Medium,M,P2,Not started
Scalability,Load testing with published results,"k6/Gatling script + a short README showing p95 latency at N concurrent users","Turns 'scalable' from a claim into evidence — cheap to do, very high credibility per hour spent",High,S,P1,Not started
Documentation,Architecture decision records (ADRs),"Short docs explaining WHY: shared-PK design, webhook idempotency, event-bus choice","This is what lets you explain design decisions fluently in an interview instead of re-deriving them live",High,S,P0,Not started
Documentation,System design README with diagram,"One diagram: client → API → Postgres/Redis/MinIO/LiveKit, plus the event flow once streams land","First thing a reviewer opens — huge signal-to-effort ratio",High,S,P0,Not started
